Task name,Category,Description,Owner,Phase,Priority,Status,Timeframe,Product,Product 1
Finish or remove placeholder screens,Product,"README still references placeholder Home/Alerts structure; ensure every tab has real value or hide unfinished routes before review.",Engineering,Phase 3,High,Open,1-3d,Bridal Studio,Mobile App
Harden password reset flow,QA,"Test forgot password on device with production Supabase email settings and decide whether deep-link password update is required.",Engineering,Phase 3,High,Open,0.5-1d,Bridal Studio,Auth
Test inventory image upload end to end,QA,"Verify gallery, files, generated debug-disabled builds, Supabase Storage URLs, image row inserts, reload, and second-device download/local cache.",QA,Phase 3,Critical,Open,1-2d,Bridal Studio,Inventory
Test RLS with multiple accounts,QA,"Use at least two accounts to confirm users cannot access another store unless the intended membership model permits it.",QA,Phase 3,Critical,Open,1d,Bridal Studio,Backend
Test offline inventory cache,QA,"Verify cached metadata and downloaded images work after app restart, network loss, and fresh login on a second device.",QA,Phase 3,High,Open,0.5-1d,Bridal Studio,Inventory
Test session workflow,QA,"Run complete styling/session flow: load inventory, shortlist, score, feedback, recap sharing, and recent sessions.",QA,Phase 3,High,Open,1-2d,Bridal Studio,Sessions
Test ring inventory path,QA,"Repeat create, upload, tag, view, delete, cache, and session flows for engagement ring stores.",QA,Phase 3,High,Open,0.5-1d,Bridal Studio,Rings
Add crash/error monitoring,DevOps,"Add production crash reporting or structured logging so store-release issues can be diagnosed beyond console logs.",Engineering,Phase 3,Medium,Open,0.5-1d,Bridal Studio,Observability
Reduce production console noise,Engineering,"Remove or gate development `console.warn` and `console.error` calls that expose internals or confuse reviewers/users.",Engineering,Phase 3,Medium,Open,2-4h,Bridal Studio,Mobile App
Add release smoke test checklist,QA,"Create a repeatable manual smoke test for auth, store creation, inventory upload, image sync, sessions, logout, and reinstall.",QA,Phase 3,High,Open,2-4h,Bridal Studio,QA
Run accessibility pass,QA,"Check contrast, tap targets, screen reader labels, text scaling, keyboard behavior, and modal usability on iOS and Android.",QA,Phase 3,Medium,Open,1-2d,Bridal Studio,Mobile App
Run performance pass on real devices,QA,"Measure image upload time, inventory cache size, large image memory usage, and session screen responsiveness on low/mid-range Android and iPhone.",QA,Phase 3,High,Open,1-2d,Bridal Studio,Performance
Implement image compression/resizing pipeline,Engineering,"Current uploads may store large original images; add deterministic resize/compression before upload to control Supabase bandwidth and mobile memory.",Engineering,Phase 3,High,Open,1-3d,Bridal Studio,Inventory
Validate backup and retention policy,Backend,"Decide how long uploaded inventory images, deleted profiles, and account data are retained; align Supabase cleanup with privacy policy.",Both,Phase 3,Medium,Open,0.5-1d,Bridal Studio,Compliance
Create Apple Developer account setup,Release,"Enroll/confirm Apple Developer Program, App Store Connect access, app record, bundle ID, certificates, and provisioning through EAS.",Business,Phase 4,Critical,Open,0.5-1d,Bridal Studio,iOS
Create Google Play Console setup,Release,"Enroll/confirm Play Console, create app, complete developer identity/payment profile, and prepare internal testing track.",Business,Phase 4,Critical,Open,0.5-1d,Bridal Studio,Android
Create production Android build,DevOps,"Run EAS production Android App Bundle build and verify signing, package name, target API, and installability.",Engineering,Phase 4,Critical,Open,1-3h,Bridal Studio,Android
Create production iOS build,DevOps,"Run EAS production iOS build and verify bundle ID, signing, TestFlight processing, and launch behavior.",Engineering,Phase 4,Critical,Open,1-3h,Bridal Studio,iOS
Upload first Android build manually,Release,"Google Play API submissions require a first manual upload before automated EAS Submit can be used reliably.",Business,Phase 4,High,Open,30-60min,Bridal Studio,Android
Configure EAS Submit,DevOps,"Add submit profiles and credentials for App Store Connect and Google Play after first app records exist.",Engineering,Phase 4,Medium,Open,1-2h,Bridal Studio,DevOps
Prepare App Store screenshots,Marketing,"Capture required iPhone/iPad screenshots from production-like flows: login, store, inventory, profile, session, recap.",Design,Phase 4,High,Open,0.5-1d,Bridal Studio,iOS
Prepare Play Store graphics,Marketing,"Create Play Store screenshots, feature graphic, short description, full description, and app category selection.",Design,Phase 4,High,Open,0.5-1d,Bridal Studio,Android
Write store descriptions and keywords,Marketing,"Prepare clear positioning for bridal boutique inventory and styling sessions; avoid unsupported claims.",Business,Phase 4,Medium,Open,2-4h,Bridal Studio,Stores
Prepare review notes,Release,"Document login credentials, backend availability, non-obvious session/inventory features, and any disabled debug/AI functionality for reviewers.",Business,Phase 4,High,Open,1-2h,Bridal Studio,Release
Run Google internal testing,QA,"Distribute Android build to internal testers, collect crash reports, verify upload/sync on physical Android devices.",QA,Phase 5,Critical,Open,3-7d,Bridal Studio,Android
Run TestFlight testing,QA,"Distribute iOS build through TestFlight, collect feedback, verify permissions, auth, inventory upload, and image caching.",QA,Phase 5,Critical,Open,3-7d,Bridal Studio,iOS
Fix beta feedback,Engineering,"Triage and fix issues from Google internal testing and TestFlight before production review.",Engineering,Phase 5,Critical,Open,2-7d,Bridal Studio,Mobile App
Submit Android production review,Release,"Promote the approved build from internal testing to production or closed/open testing based on launch plan.",Business,Phase 6,Critical,Open,1-3h,Bridal Studio,Android
Submit iOS App Review,Release,"Select TestFlight build in App Store Connect, complete metadata/privacy/export compliance, and submit for review.",Business,Phase 6,Critical,Open,1-3h,Bridal Studio,iOS
Prepare post-launch monitoring,Ops,"Define who watches Supabase logs, crash reports, review feedback, support email, and emergency rollback/rebuild steps after release.",Both,Phase 6,High,Open,0.5-1d,Bridal Studio,Ops
